"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","IDX2015","A","1958",15.62895,
"AUT","CPI","TOT","IDX2015","A","1959",15.79696,
"AUT","CPI","TOT","IDX2015","A","1960",16.10433,
"AUT","CPI","TOT","IDX2015","A","1961",16.67478,
"AUT","CPI","TOT","IDX2015","A","1962",17.40544,
"AUT","CPI","TOT","IDX2015","A","1963",17.87691,
"AUT","CPI","TOT","IDX2015","A","1964",18.56849,
"AUT","CPI","TOT","IDX2015","A","1965",19.48409,
"AUT","CPI","TOT","IDX2015","A","1966",19.88445,
"AUT","CPI","TOT","IDX2015","A","1967",20.67479,
"AUT","CPI","TOT","IDX2015","A","1968",21.24642,
"AUT","CPI","TOT","IDX2015","A","1969",21.9009,
"AUT","CPI","TOT","IDX2015","A","1970",22.85859,
"AUT","CPI","TOT","IDX2015","A","1971",23.93391,
"AUT","CPI","TOT","IDX2015","A","1972",25.45495,
"AUT","CPI","TOT","IDX2015","A","1973",27.37198,
"AUT","CPI","TOT","IDX2015","A","1974",29.97828,
"AUT","CPI","TOT","IDX2015","A","1975",32.51003,
"AUT","CPI","TOT","IDX2015","A","1976",34.88933,
"AUT","CPI","TOT","IDX2015","A","1977",36.80636,
"AUT","CPI","TOT","IDX2015","A","1978",38.12194,
"AUT","CPI","TOT","IDX2015","A","1979",39.53528,
"AUT","CPI","TOT","IDX2015","A","1980",42.0372,
"AUT","CPI","TOT","IDX2015","A","1981",44.897,
"AUT","CPI","TOT","IDX2015","A","1982",47.33762,
"AUT","CPI","TOT","IDX2015","A","1983",48.9183,
"AUT","CPI","TOT","IDX2015","A","1984",51.68863,
"AUT","CPI","TOT","IDX2015","A","1985",53.33725,
"AUT","CPI","TOT","IDX2015","A","1986",54.24689,
"AUT","CPI","TOT","IDX2015","A","1987",55.0074,
"AUT","CPI","TOT","IDX2015","A","1988",56.06119,
"AUT","CPI","TOT","IDX2015","A","1989",57.50104,
"AUT","CPI","TOT","IDX2015","A","1990",59.37665,
"AUT","CPI","TOT","IDX2015","A","1991",61.3583,
"AUT","CPI","TOT","IDX2015","A","1992",63.82542,
"AUT","CPI","TOT","IDX2015","A","1993",66.14342,
"AUT","CPI","TOT","IDX2015","A","1994",68.09691,
"AUT","CPI","TOT","IDX2015","A","1995",69.62457,
"AUT","CPI","TOT","IDX2015","A","1996",70.92027,
"AUT","CPI","TOT","IDX2015","A","1997",71.84647,
"AUT","CPI","TOT","IDX2015","A","1998",72.50923,
"AUT","CPI","TOT","IDX2015","A","1999",72.9218,
"AUT","CPI","TOT","IDX2015","A","2000",74.63172,
"AUT","CPI","TOT","IDX2015","A","2001",76.60946,
"AUT","CPI","TOT","IDX2015","A","2002",77.99637,
"AUT","CPI","TOT","IDX2015","A","2003",79.05365,
"AUT","CPI","TOT","IDX2015","A","2004",80.68311,
"AUT","CPI","TOT","IDX2015","A","2005",82.53812,
"AUT","CPI","TOT","IDX2015","A","2006",83.72795,
"AUT","CPI","TOT","IDX2015","A","2007",85.54364,
"AUT","CPI","TOT","IDX2015","A","2008",88.29468,
"AUT","CPI","TOT","IDX2015","A","2009",88.74172,
"AUT","CPI","TOT","IDX2015","A","2010",90.35108,
"AUT","CPI","TOT","IDX2015","A","2011",93.32055,
"AUT","CPI","TOT","IDX2015","A","2012",95.64019,
"AUT","CPI","TOT","IDX2015","A","2013",97.55315,
"AUT","CPI","TOT","IDX2015","A","2014",99.11966,
"AUT","CPI","TOT","IDX2015","A","2015",100.0083,
"AUT","CPI","TOT","IDX2015","A","2016",100.9,
"AUT","CPI","TOT","IDX2015","A","2017",103,
"AUT","CPI","TOT","IDX2015","A","2018",105.0583,
"BEL","CPI","TOT","IDX2015","A","1955",13.16081,
"BEL","CPI","TOT","IDX2015","A","1956",13.5318,
"BEL","CPI","TOT","IDX2015","A","1957",13.96044,
"BEL","CPI","TOT","IDX2015","A","1958",14.14039,
"BEL","CPI","TOT","IDX2015","A","1959",14.31424,
"BEL","CPI","TOT","IDX2015","A","1960",14.35711,
"BEL","CPI","TOT","IDX2015","A","1961",14.49963,
"BEL","CPI","TOT","IDX2015","A","1962",14.70329,
"BEL","CPI","TOT","IDX2015","A","1963",15.01912,
"BEL","CPI","TOT","IDX2015","A","1964",15.64523,
"BEL","CPI","TOT","IDX2015","A","1965",16.28124,
"BEL","CPI","TOT","IDX2015","A","1966",16.96087,
"BEL","CPI","TOT","IDX2015","A","1967",17.42396,
"BEL","CPI","TOT","IDX2015","A","1968",17.89466,
"BEL","CPI","TOT","IDX2015","A","1969",18.56642,
"BEL","CPI","TOT","IDX2015","A","1970",19.29208,
"BEL","CPI","TOT","IDX2015","A","1971",20.13006,
"BEL","CPI","TOT","IDX2015","A","1972",21.22683,
"BEL","CPI","TOT","IDX2015","A","1973",22.70322,
"BEL","CPI","TOT","IDX2015","A","1974",25.5815,
"BEL","CPI","TOT","IDX2015","A","1975",28.84781,
"BEL","CPI","TOT","IDX2015","A","1976",31.4639,
"BEL","CPI","TOT","IDX2015","A","1977",33.69658,
"BEL","CPI","TOT","IDX2015","A","1978",35.20301,
"BEL","CPI","TOT","IDX2015","A","1979",36.77626,
"BEL","CPI","TOT","IDX2015","A","1980",39.22141,
"BEL","CPI","TOT","IDX2015","A","1981",42.21301,
"BEL","CPI","TOT","IDX2015","A","1982",45.89675,
"BEL","CPI","TOT","IDX2015","A","1983",49.41318,
"BEL","CPI","TOT","IDX2015","A","1984",52.54686,
"BEL","CPI","TOT","IDX2015","A","1985",55.10522,
"BEL","CPI","TOT","IDX2015","A","1986",55.81849,
"BEL","CPI","TOT","IDX2015","A","1987",56.68556,
"BEL","CPI","TOT","IDX2015","A","1988",57.34364,
"BEL","CPI","TOT","IDX2015","A","1989",59.12534,
"BEL","CPI","TOT","IDX2015","A","1990",61.16417,
"BEL","CPI","TOT","IDX2015","A","1991",63.13078,
"BEL","CPI","TOT","IDX2015","A","1992",64.66357,
"BEL","CPI","TOT","IDX2015","A","1993",66.44468,
"BEL","CPI","TOT","IDX2015","A","1994",68.02443,
"BEL","CPI","TOT","IDX2015","A","1995",69.023,
"BEL","CPI","TOT","IDX2015","A","1996",70.45663,
"BEL","CPI","TOT","IDX2015","A","1997",71.60378,
"BEL","CPI","TOT","IDX2015","A","1998",72.28348,
"BEL","CPI","TOT","IDX2015","A","1999",73.09367,
"BEL","CPI","TOT","IDX2015","A","2000",74.95354,
"BEL","CPI","TOT","IDX2015","A","2001",76.80434,
"BEL","CPI","TOT","IDX2015","A","2002",78.06794,
"BEL","CPI","TOT","IDX2015","A","2003",79.30841,
"BEL","CPI","TOT","IDX2015","A","2004",80.97173,
"BEL","CPI","TOT","IDX2015","A","2005",83.22391,
"BEL","CPI","TOT","IDX2015","A","2006",84.71461,
"BEL","CPI","TOT","IDX2015","A","2007",86.25901,
"BEL","CPI","TOT","IDX2015","A","2008",90.13156,
"BEL","CPI","TOT","IDX2015","A","2009",90.08366,
"BEL","CPI","TOT","IDX2015","A","2010",92.05586,
"BEL","CPI","TOT","IDX2015","A","2011",95.30735,
"BEL","CPI","TOT","IDX2015","A","2012",98.01376,
"BEL","CPI","TOT","IDX2015","A","2013",99.10474,
"BEL","CPI","TOT","IDX2015","A","2014",99.4417,
"BEL","CPI","TOT","IDX2015","A","2015",100,
"BEL","CPI","TOT","IDX2015","A","2016",101.9739,
"BEL","CPI","TOT","IDX2015","A","2017",104.1418,
"BEL","CPI","TOT","IDX2015","A","2018",106.28,
"FIN","CPI","TOT","IDX2015","A","1955",5.422786,
"FIN","CPI","TOT","IDX2015","A","1956",6.054611,
"FIN","CPI","TOT","IDX2015","A","1957",6.736437,
"FIN","CPI","TOT","IDX2015","A","1958",7.128419,
"FIN","CPI","TOT","IDX2015","A","1959",7.231896,
"FIN","CPI","TOT","IDX2015","A","1960",7.479092,
"FIN","CPI","TOT","IDX2015","A","1961",7.605564,
"FIN","CPI","TOT","IDX2015","A","1962",7.93899,
"FIN","CPI","TOT","IDX2015","A","1963",8.335651,
"FIN","CPI","TOT","IDX2015","A","1964",9.192212,
"FIN","CPI","TOT","IDX2015","A","1965",9.646361,
"FIN","CPI","TOT","IDX2015","A","1966",10.02003,
"FIN","CPI","TOT","IDX2015","A","1967",10.55888,
"FIN","CPI","TOT","IDX2015","A","1968",11.52942,
"FIN","CPI","TOT","IDX2015","A","1969",11.78371,
"FIN","CPI","TOT","IDX2015","A","1970",12.10664,
"FIN","CPI","TOT","IDX2015","A","1971",12.89064,
"FIN","CPI","TOT","IDX2015","A","1972",13.74947,
"FIN","CPI","TOT","IDX2015","A","1973",15.22816,
"FIN","CPI","TOT","IDX2015","A","1974",17.80726,
"FIN","CPI","TOT","IDX2015","A","1975",20.97898,
"FIN","CPI","TOT","IDX2015","A","1976",23.98793,
"FIN","CPI","TOT","IDX2015","A","1977",26.81691,
"FIN","CPI","TOT","IDX2015","A","1978",28.90846,
"FIN","CPI","TOT","IDX2015","A","1979",31.06704,
"FIN","CPI","TOT","IDX2015","A","1980",34.66914,
"FIN","CPI","TOT","IDX2015","A","1981",38.58875,
"FIN","CPI","TOT","IDX2015","A","1982",42.28746,
"FIN","CPI","TOT","IDX2015","A","1983",45.82535,
"FIN","CPI","TOT","IDX2015","A","1984",49.06413,
"FIN","CPI","TOT","IDX2015","A","1985",51.61332,
"FIN","CPI","TOT","IDX2015","A","1986",53.12743,
"FIN","CPI","TOT","IDX2015","A","1987",55.31258,
"FIN","CPI","TOT","IDX2015","A","1988",58.12574,
"FIN","CPI","TOT","IDX2015","A","1989",61.95792,
"FIN","CPI","TOT","IDX2015","A","1990",65.76806,
"FIN","CPI","TOT","IDX2015","A","1991",68.6028,
"FIN","CPI","TOT","IDX2015","A","1992",70.60554,
"FIN","CPI","TOT","IDX2015","A","1993",72.15226,
"FIN","CPI","TOT","IDX2015","A","1994",72.93768,
"FIN","CPI","TOT","IDX2015","A","1995",73.51479,
"FIN","CPI","TOT","IDX2015","A","1996",73.97735,
"FIN","CPI","TOT","IDX2015","A","1997",74.85957,
"FIN","CPI","TOT","IDX2015","A","1998",75.9072,
"FIN","CPI","TOT","IDX2015","A","1999",76.78943,
