LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	LTINT	TOT	PC_PA	A	1970	6.646667	
AUS	LTINT	TOT	PC_PA	A	1971	6.713333	
AUS	LTINT	TOT	PC_PA	A	1972	5.831666	
AUS	LTINT	TOT	PC_PA	A	1973	6.933333	
AUS	LTINT	TOT	PC_PA	A	1974	9.036667	
AUS	LTINT	TOT	PC_PA	A	1975	9.741667	
AUS	LTINT	TOT	PC_PA	A	1976	10.03083	
AUS	LTINT	TOT	PC_PA	A	1977	10.22667	
AUS	LTINT	TOT	PC_PA	A	1978	9.06	
AUS	LTINT	TOT	PC_PA	A	1979	9.749166	
AUS	LTINT	TOT	PC_PA	A	1980	11.6475	
AUS	LTINT	TOT	PC_PA	A	1981	13.95833	
AUS	LTINT	TOT	PC_PA	A	1982	15.375	
AUS	LTINT	TOT	PC_PA	A	1983	13.8875	
AUS	LTINT	TOT	PC_PA	A	1984	13.525	
AUS	LTINT	TOT	PC_PA	A	1985	13.95417	
AUS	LTINT	TOT	PC_PA	A	1986	13.41667	
AUS	LTINT	TOT	PC_PA	A	1987	13.19167	
AUS	LTINT	TOT	PC_PA	A	1988	12.10417	
AUS	LTINT	TOT	PC_PA	A	1989	13.40833	
AUS	LTINT	TOT	PC_PA	A	1990	13.18	
AUS	LTINT	TOT	PC_PA	A	1991	10.69083	
AUS	LTINT	TOT	PC_PA	A	1992	9.22	
AUS	LTINT	TOT	PC_PA	A	1993	7.280833	
AUS	LTINT	TOT	PC_PA	A	1994	9.041667	
AUS	LTINT	TOT	PC_PA	A	1995	9.210896	
AUS	LTINT	TOT	PC_PA	A	1996	8.209207	
AUS	LTINT	TOT	PC_PA	A	1997	6.954918	
AUS	LTINT	TOT	PC_PA	A	1998	5.49297	
AUS	LTINT	TOT	PC_PA	A	1999	6.009312	
AUS	LTINT	TOT	PC_PA	A	2000	6.314569	
AUS	LTINT	TOT	PC_PA	A	2001	5.615264	
AUS	LTINT	TOT	PC_PA	A	2002	5.843958	
AUS	LTINT	TOT	PC_PA	A	2003	5.366776	
AUS	LTINT	TOT	PC_PA	A	2004	5.590775	
AUS	LTINT	TOT	PC_PA	A	2005	5.339973	
AUS	LTINT	TOT	PC_PA	A	2006	5.587872	
AUS	LTINT	TOT	PC_PA	A	2007	5.994521	
AUS	LTINT	TOT	PC_PA	A	2008	5.817944	
AUS	LTINT	TOT	PC_PA	A	2009	5.039512	
AUS	LTINT	TOT	PC_PA	A	2010	5.366042	
AUS	LTINT	TOT	PC_PA	A	2011	4.879583	
AUS	LTINT	TOT	PC_PA	A	2012	3.379167	
AUS	LTINT	TOT	PC_PA	A	2013	3.697292	
AUS	LTINT	TOT	PC_PA	A	2014	3.656667	
AUS	LTINT	TOT	PC_PA	A	2015	2.710833	
AUS	LTINT	TOT	PC_PA	A	2016	2.336667	
AUS	LTINT	TOT	PC_PA	A	2017	2.639167	
AUS	LTINT	TOT	PC_PA	A	2018	2.684167	
AUT	LTINT	TOT	PC_PA	A	1990	8.7275	
AUT	LTINT	TOT	PC_PA	A	1991	8.546667	
AUT	LTINT	TOT	PC_PA	A	1992	8.139167	
AUT	LTINT	TOT	PC_PA	A	1993	6.705	
AUT	LTINT	TOT	PC_PA	A	1994	7.025	
AUT	LTINT	TOT	PC_PA	A	1995	7.134167	
AUT	LTINT	TOT	PC_PA	A	1996	6.3225	
AUT	LTINT	TOT	PC_PA	A	1997	5.6825	
AUT	LTINT	TOT	PC_PA	A	1998	4.713333	
AUT	LTINT	TOT	PC_PA	A	1999	4.679167	
AUT	LTINT	TOT	PC_PA	A	2000	5.556667	
AUT	LTINT	TOT	PC_PA	A	2001	5.079167	
AUT	LTINT	TOT	PC_PA	A	2002	4.964167	
AUT	LTINT	TOT	PC_PA	A	2003	4.140833	
AUT	LTINT	TOT	PC_PA	A	2004	4.130833	
AUT	LTINT	TOT	PC_PA	A	2005	3.394167	
AUT	LTINT	TOT	PC_PA	A	2006	3.8	
AUT	LTINT	TOT	PC_PA	A	2007	4.2975	
AUT	LTINT	TOT	PC_PA	A	2008	4.358333	
AUT	LTINT	TOT	PC_PA	A	2009	3.936667	
AUT	LTINT	TOT	PC_PA	A	2010	3.225833	
AUT	LTINT	TOT	PC_PA	A	2011	3.319167	
AUT	LTINT	TOT	PC_PA	A	2012	2.3725	
AUT	LTINT	TOT	PC_PA	A	2013	2.01	
AUT	LTINT	TOT	PC_PA	A	2014	1.4875	
AUT	LTINT	TOT	PC_PA	A	2015	0.7463517	
AUT	LTINT	TOT	PC_PA	A	2016	0.3753925	
AUT	LTINT	TOT	PC_PA	A	2017	0.583265	
AUT	LTINT	TOT	PC_PA	A	2018	0.6861517	
BEL	LTINT	TOT	PC_PA	A	1970	7.804167	
BEL	LTINT	TOT	PC_PA	A	1971	7.321667	
BEL	LTINT	TOT	PC_PA	A	1972	7.044167	
BEL	LTINT	TOT	PC_PA	A	1973	7.494167	
BEL	LTINT	TOT	PC_PA	A	1974	8.768333	
BEL	LTINT	TOT	PC_PA	A	1975	8.515833	
BEL	LTINT	TOT	PC_PA	A	1976	9.088333	
BEL	LTINT	TOT	PC_PA	A	1977	8.7625	
BEL	LTINT	TOT	PC_PA	A	1978	8.9275	
BEL	LTINT	TOT	PC_PA	A	1979	9.693334	
BEL	LTINT	TOT	PC_PA	A	1980	11.9	
BEL	LTINT	TOT	PC_PA	A	1981	13.43667	
BEL	LTINT	TOT	PC_PA	A	1982	13.42833	
BEL	LTINT	TOT	PC_PA	A	1983	11.94083	
BEL	LTINT	TOT	PC_PA	A	1984	12.2425	
